"","x"
"T4_E7.S53","T4_SMC"
"T4_E8.S61","T4_other"
"T4_E9.S69","T4_SMC"
"T4_F11.S86","T4_SMC"
"T4_F12.S94","T4_NCSC"
"T4_F14.S78","T4_SMC"
"T4_F1.S6","T4_NCSC"
"T4_F3.S22","T4_SMC"
"T4_F5.S38","T4_SMC"
"T4_F6.S46","T4_SMC"
"T4_F7.S54","T4_other"
"T4_F8.S62","T4_other"
"T4_F9.S70","T4_other"
"T4_G11.S87","T4_SMC"
"T4_G12.S95","T4_SMC"
"T4_G14.S79","T4_SMC"
"T4_G2.S15","T4_other"
"T4_G3.S23","T4_NCSC"
"T4_G6.S47","T4_other"
"T4_G7.S55","T4_SMC"
"T4_G8.S63","T4_other"
"T4_G9.S71","T4_SMC"
"T4_H11.S88","T4_other"
"T4_H1.S8","T4_other"
"T4_H2.S16","T4_other"
"T4_H4.S32","T4_other"
"T4_H5.S40","T4_SMC"
"T28_A10.S286","T28_SMC"
"T28_A11.S294","T28_NCSC"
"T28_A12.S302","T28_SMC"
"T28_A1.S214","T28_pigmentation"
"T28_A5.S246","T28_other"
"T28_A6.S254","T28_SMC"
"T28_A7.S262","T28_SMC"
"T28_A8.S270","T28_SMC"
"T28_B11.S295","T28_SMC"
"T28_B12.S303","T28_NCSC"
"T28_B3.S231","T28_SMC"
"T28_B4.S239","T28_other"
"T28_B5.S247","T28_SMC"
"T28_B6.S255","T28_other"
"T28_C1.S216","T28_NCSC"
"T28_C2.S224","T28_other"
"T28_C5.S248","T28_pigmentation"
"T28_C6.S256","T28_other"
"T28_C8.S272","T28_NCSC"
"T28_C9.S280","T28_NCSC"
"T28_D11.S297","T28_NCSC"
"T28_D12.S305","T28_SMC"
"T28_D1.S217","T28_other"
"T28_D3.S233","T28_other"
"T28_D4.S241","T28_SMC"
"T28_D6.S257","T28_SMC"
"T28_D7.S265","T28_other"
"T28_D8.S273","T28_other"
"T28_E12.S306","T28_SMC"
"T28_E2.S226","T28_other"
"T28_E3.S234","T28_NCSC"
"T28_E4.S242","T28_pigmentation"
"T28_E5.S250","T28_SMC"
"T28_E6.S258","T28_SMC"
"T28_E7.S266","T28_SMC"
"T28_E8.S274","T28_SMC"
"T28_F10.S291","T28_NCSC"
"T28_F11.S299","T28_SMC"
"T28_F12.S307","T28_invasion"
"T28_F1.S219","T28_SMC"
"T28_F2.S227","T28_NCSC"
"T28_F3.S235","T28_SMC"
"T28_F4.S243","T28_other"
"T28_F5.S251","T28_SMC"
"T28_F8.S275","T28_SMC"
"T28_G10.S292","T28_other"
"T28_G11.S300","T28_SMC"
"T28_G2.S228","T28_SMC"
"T28_G3.S236","T28_SMC"
"T28_G4.S244","T28_other"
"T28_G5.S252","T28_SMC"
"T28_H1.S221","T28_SMC"
"T28_H3.S237","T28_SMC"
"T28_H5.S253","T28_pigmentation"
"T28_A11.S177","T28_other"
"T28_A14.S169","T28_other"
"T28_A2.S105","T28_other"
"T28_A3.S113","T28_other"
"T28_A7.S145","T28_other"
"T28_A8.S153","T28_SMC"
"T28_A9.S161","T28_other"
"T28_B12.S186","T28_other"
"T28_B5.S130","T28_other"
"T28_C12.S187","T28_other"
"T28_C2.S107","T28_pigmentation"
"T28_C6.S139","T28_other"
"T28_C7.S147","T28_other"
"T28_C8.S155","T28_other"
"T28_D11.S180","T28_other"
"T28_D14.S172","T28_other"
"T28_D3.S116","T28_other"
"T28_D4.S124","T28_other"
"T28_D5.S132","T28_SMC"
"T28_D6.S140","T28_other"
"T28_D7.S148","T28_SMC"
"T28_E12.S189","T28_SMC"
"T28_E14.S173","T28_SMC"
"T28_E8.S157","T28_pigmentation"
"T28_F11.S182","T28_other"
"T28_F12.S190","T28_other"
"T28_F14.S174","T28_other"
"T28_F3.S118","T28_other"
"T28_F4.S126","T28_SMC"
"T28_F5.S134","T28_other"
"T28_F6.S142","T28_SMC"
"T28_F7.S150","T28_other"
"T28_F8.S158","T28_SMC"
"T28_G12.S191","T28_SMC"
"T28_G14.S175","T28_other"
"T28_G2.S111","T28_SMC"
"T28_G3.S119","T28_other"
"T28_G5.S135","T28_SMC"
"T28_G7.S151","T28_SMC"
"T28_G9.S167","T28_SMC"
"T28_H11.S184","T28_SMC"
"T28_H12.S192","T28_SMC"
"T28_H5.S136","T28_other"
"T28_H6.S144","T28_pigmentation"
"T28_H8.S160","T28_other"
"lib1_AR_T28_1_A10.S297","T28_other"
"lib1_AR_T28_1_A11.S298","T28_NCSC"
"lib1_AR_T28_1_A12.S299","T28_SMC"
"lib1_AR_T28_1_A1.S288","T28_SMC"
"lib1_AR_T28_1_A2.S289","T28_SMC"
"lib1_AR_T28_1_A4.S291","T28_SMC"
"lib1_AR_T28_1_A7.S294","T28_pigmentation"
"lib1_AR_T28_1_A8.S295","T28_other"
"lib1_AR_T28_1_B10.S309","T28_invasion"
"lib1_AR_T28_1_B11.S310","T28_NCSC"
"lib1_AR_T28_1_B12.S311","T28_SMC"
"lib1_AR_T28_1_B1.S300","T28_pigmentation"
"lib1_AR_T28_1_B2.S301","T28_other"
"lib1_AR_T28_1_B3.S302","T28_NCSC"
"lib1_AR_T28_1_B4.S303","T28_NCSC"
"lib1_AR_T28_1_B5.S304","T28_SMC"
"lib1_AR_T28_1_B7.S306","T28_SMC"
"lib1_AR_T28_1_B8.S307","T28_SMC"
"lib1_AR_T28_1_B9.S308","T28_NCSC"
"lib1_AR_T28_1_C11.S322","T28_SMC"
"lib1_AR_T28_1_C12.S323","T28_SMC"
"lib1_AR_T28_1_C1.S312","T28_other"
"lib1_AR_T28_1_C2.S313","T28_other"
"lib1_AR_T28_1_C3.S314","T28_NCSC"
"lib1_AR_T28_1_C4.S315","T28_SMC"
"lib1_AR_T28_1_C5.S316","T28_NCSC"
"lib1_AR_T28_1_C6.S317","T28_other"
"lib1_AR_T28_1_C7.S318","T28_invasion"
"lib1_AR_T28_1_C9.S320","T28_other"
"lib1_AR_T28_1_D10.S333","T28_NCSC"
"lib1_AR_T28_1_D12.S335","T28_NCSC"
"lib1_AR_T28_1_D1.S324","T28_other"
"lib1_AR_T28_1_D4.S327","T28_other"
"lib1_AR_T28_1_D5.S328","T28_invasion"
"lib1_AR_T28_1_D6.S329","T28_other"
